name,url,price
Persona - Minimal Resume/CV Template,https://themeforest.net/item/persona-minimal-resumecv-template/14814584,15
VALERA's - Responsive Vcard,https://themeforest.net/item/valeras-responsive-vcard/2249627,95
Elvish - Personal Portfolio Template,https://themeforest.net/item/elvish-personal-portfolio-template/21778207,50
Cvio - CV Resume Template,https://themeforest.net/item/cvio-resumecv-template/24695116,17
Void - Onepage Parallax Personal Portfolio Templates,https://themeforest.net/item/void-onepage-parallax-personal-portfolio-templates/19679120,20
uCard - Animated vCard Template,https://themeforest.net/item/ucard-a-vcard-template/15925463,25
FlipCard - Responsive One-page Template,https://themeforest.net/item/flipcard-responsive-onepage-template/5334050,14
Alexon - Personal One-Multi Page Hybrid Template,https://themeforest.net/item/alexon-personal-onemulti-page-hybrid-template-/10652875,15
Frittata - Responsive Personal Template,https://themeforest.net/item/frittata-responsive-personal-template/4050602,16
Sigma: Creative AJAX HTML Template,https://themeforest.net/item/sigma-creative-ajax-html-template/5448172,13
Second Responsive V-card Template,https://themeforest.net/item/second-responsive-vcard-template/2644479,25
MilZinCard - Responsive vCard Template ,https://themeforest.net/item/milzincard-responsive-vcard-template-/11474223,12
4HIRE - Elegant vCard Template,https://themeforest.net/item/4hire-elegant-vcard-template/236937,8
Patrick - CV Resume Template,https://themeforest.net/item/patrick-personal-vcard-resume-cv-template/22390204,17
Motion | vCard Template,https://themeforest.net/item/motion-responsive-vcard-template/3968041,39
Kreative - Personal Vcard & Resume HTML Template,https://themeforest.net/item/kreative-personal-vcard-resume-html-template/12815537,21
Alexio – Bootstrap 4 Personal Portfolio,https://themeforest.net/item/alexio-bootstrap-4-personal-portfolio/23025822,14
Lucido Professiona Vcard Template,https://themeforest.net/item/lucido-professiona-vcard-template/109376,11
Nastik - Creative Responsive Personal Ajax  Portfolio,https://themeforest.net/item/nastik-creative-responsive-personal-ajax-portfolio/24723014,17
Personal CV with Timeline,https://themeforest.net/item/personal-cv-with-timeline/2838279,13
Profyl - Personal Vcard Resume HTML Template,https://themeforest.net/item/profyl-personal-vcard-resume-html-template/20952362,9
Clean Html V-card Template,https://themeforest.net/item/clean-responsive-retina-ready-vcard-template/4754554,25
Skydreamer HTML5 responsive vCard,https://themeforest.net/item/skydreamer-html5-responsive-vcard/2950493,10
Karizma - Modern vCard / Resume / CV / Portfolio,https://themeforest.net/item/karizma-modern-vcard-resume-cv-portfolio/22458480,11
"ADDO - Multipurpose Personal, Portfolio and Resume Template",https://themeforest.net/item/addo-multipurpose-personal-portfolio-and-resume-template/23687783,25
Personalize - Elegant and Professional vCard theme,https://themeforest.net/item/personalize-elegant-and-professional-vcard-theme/125412,9
Ja - Advanced Personal Resume / CV vCard Template,https://themeforest.net/item/ja-advanced-personal-resume-cv-vcard-template/20482655,18
Marqa | One Page Personal & Portfolio HTML Template,https://themeforest.net/item/marqa-one-page-personal-portfolio-html-template/16996898,16
CodeX - Personal Portfolio / Resume / CV / vCard Template,https://themeforest.net/item/codex-personal-portfolio-resume-cv-vcard-template/24245516,12
Jonny - One Page HTML Template,https://themeforest.net/item/jonny-one-page-html-template/21099125,14
Arter - CV Resume Portfolio Web App Template,https://themeforest.net/item/arter-cv-resume-portfolio-web-app-template/27008333,19
Riche vCard | Personal vCard HTML Template,https://themeforest.net/item/riche-vcard-personal-vcard-html-template/13287579,65
Vitae - Responsive HTML5 vCard Template,https://themeforest.net/item/vitae-responsive-html5-vcard-template/5349617,13
Advante - Responsive HTML5 Personal Page,https://themeforest.net/item/advante-responsive-html5-personal-page/2353435,13
Ryan – Bootstrap 4 One Page Personal Portfolio Template,https://themeforest.net/item/ryan-bootstrap-4-one-page-personal-portfolio-template/22047453,14
Portbook - Portfolio Booklet Template,https://themeforest.net/item/portbook-portfolio-booklet-template/1631894,9
Premium vCard,https://themeforest.net/item/premium-vcard/232715,8
Shane - Personal Portfolio Template,https://themeforest.net/item/shane-vcard-template/28114907,14
Madeeha - Responsive Vcard Template,https://themeforest.net/item/madeeha-responsive-vcard-template/2645116,7
Arther : BS3 Horizontal Scrolling Vcard Template,https://themeforest.net/item/arther-bs3-horizontal-scrolling-vcard-template/7383866,14
Sleeko Responsive vCard,https://themeforest.net/item/sleeko-responsive-vcard/3269257,9
Balloon - Personal vCard Template,https://themeforest.net/item/balloon-personal-vcard-template/14351258,13
Resume / CV / Portfolio / vCard,https://themeforest.net/item/riyad-creative-vcard-resume-cv-portfolio/23608354,14
